SMILES,value
COc1cc(Cl)ccc1C(=S)Nc1ccc(Cl)c(Cl)c1,5.39794
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(Cl)cc3)cc1)C2,6.69627
COc1ccc2[nH]c(/C(C#N)=C\c3ccccc3OCc3ccc(C(=O)O)cc3)nc2c1,4.2259
Cc1ccc(N2C(=O)C(Cl)=C(Nc3cc(Cl)ccc3O)C2=O)cc1,4.19278
CC(=O)Nc1nc2ccccc2n1Cc1ccccc1,5.56288
O=C1N=C2SC([N+](=O)[O-])=CN2C2=NC(=S)NC(c3ccccc3C(F)(F)F)C12,5.13668
CN1C[C@H](c2ccc(Br)cc2)[C@]2(Cc3ccccc3C2=O)[C@]12C(=O)c1cccc3cccc2c13,4.90309
COc1ccc(CC2C3=C(CCCC3)CCN2c2cc3c(cc2[N+](=O)[O-])c(=O)c(C(=O)O)cn3C2CC2)cc1,5.51713
O=[N+]([O-])c1ccc(C2=NOC(c3ccc(N4CCC(Oc5ccc(F)cc5)CC4)c(F)c3)C2)o1,7.5924
CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cc(-c5ccc(Br)cc5)[nH]n4)c3)cc2C(F)(F)F)CC1,5.66575
Clc1cc(N2CCN(c3ccccc3)CC2)nc(-c2ccccc2)n1,4.0
CSc1ccc(-n2c(/C=C/c3ccc(OC(C)=O)cc3)nc3ccccc3c2=O)cc1,4.83607
COC(=O)/C(=C/c1ccccc1[N+](=O)[O-])CSC(=N)Nc1ccccc1,4.79588
O=C(CC1(O)c2ccccc2-n2c1nc1ccccc1c2=O)c1ccccc1O,4.78968
CCCCOC(=O)c1ccc(NC(=O)CSc2nnnn2C)cc1,4.72234
Cn1cc([N+](=O)[O-])cc1-c1nnc(-c2ccc(C#N)cc2)o1,3.54282
CC(c1ccc2oc3ccccc3c2c1)n1cc(-c2ccccc2)nn1,4.73518
COc1nc2ccccc2cc1CN(Cc1ccc(Cl)cc1)CC(O)CN1CCCC1,5.25259
Cc1cc(C2=NN(C(=O)c3ccncc3)C(c3ccccc3)C2)ccc1O,5.20975
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)NCc2ccc(N(C)C)cc2)cc1,5.92082
CCCCCCCCCCc1cn(CCc2ccccc2)nn1,4.89415
CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2nnc(-c3cc(Cl)ccc3Cl)o2)cc1,5.36614
Cc1cc(C(=O)NN)ccn1,5.28353
CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3ccc(OC(F)(F)F)cc3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,4.63078
Cn1nnc([Se]Cc2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)n1,5.84948
O=[N+]([O-])c1cn2c(n1)OC[C@@H](Oc1ccc(-c3ccc(C(F)(F)F)cc3)cn1)C2,5.96041
COc1cccc(Cl)c1-c1ccc(CO[C@@H]2COc3nc([N+](=O)[O-])cn3C2)cc1,6.6952
COc1ccc(CN2CCN(CCn3c(=O)ccc4ncc(OC)cc43)CC2)cc1,5.41794
COCCCNC(=O)COC(=O)c1ccc(-c2nc3ccccc3s2)s1,4.84212
O=C1C(=O)N(CCCCBr)c2ccc(Br)cc21,4.46968
CC(O)CNc1nc2c(c(=O)[nH]c(=O)n2C)n1CCOc1ccccc1,4.0
CCCOC(=O)c1ccc(NC(=O)C2CCCO2)cc1,4.98683
Cc1ccc(CCNC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)cc1,5.81816
COc1cccc(-c2nc(-c3ccccc3)nc(N3CCN(C)CC3)c2C#N)c1,5.05567
CC(C)(C)n1cc(C(=O)O)c(=O)c2cc([N+](=O)[O-])c(N3CCN(C(=O)C4COc5ccccc5O4)CC3)cc21,5.23433
COCc1nnc(NC(=O)COc2ccccc2C(C)(C)C)s1,4.0
CCCCCCCCCCCCCCCCOCC(O)CO,4.04556
O=C(Nc1cc(C(F)(F)F)ccc1Cl)c1cc(F)ccc1O,5.50864
Cc1ccc(-c2c[n+](CC(=O)N3c4ccccc4Sc4ccccc43)c3n2CCC3)cc1,5.1043
CCC(OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,5.24323
COc1cccc(N(Cc2cn(CC#N)nn2)C2=CC(=O)c3ccccc3C2=O)c1,4.45687
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,4.54546
O=C1N(CC2CC2)c2ccccc2C12CCN(CC1CCCO1)CC2,3.69897
COc1ccc(/C=N/N(C(=O)c2ccc(Cl)cc2)C(=O)c2cccnc2)cc1,7.19723
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccncc1)C1=C(C(=O)CC(C)(C)C1)C2c1cccc(OCc2ccccc2)c1,6.46959
Cc1cc(C)c2nc(/N=C(\N)NC(=O)Nc3ccccc3)nc(C)c2c1,5.39621
O=C(CCl)Nc1ccccc1C(=O)NCc1ccccc1,5.08804
CCOP(=O)(OCC)Oc1ccc(Br)cc1C(=O)Nc1cccc(Br)c1,5.69897
Cc1cccc(Oc2nc(-c3ccc(NC(=S)Nc4ccc(F)cc4)cc3)nc3ccccc23)c1,3.98277
CC(C)(C)n1nnnc1C(c1ccccc1Cl)N1CCN(C2=NC(=O)/C(=C/c3ccccc3)S2)CC1,4.62134
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(CNc4ccccc4)cc3)cc1)C2,6.71125
CN(C)c1ccc(C(=O)Nc2nnc(-c3ccc4c(c3)CCCC4)o2)cc1,4.44637
Cc1ccccc1Cn1cc(C(=O)NCC2CC2)c2ncccc21,5.20412
CSc1ccc(-c2cc(CN3CCOCC3)c(C)n2-c2ccc(F)cc2)cc1,6.22185
CC(C)c1ccc(-c2cncc(N3CCN(c4ccncc4)CC3)n2)cc1,5.08
CCCCCC[C@@H](CN1CCC(COc2ccc(/C(=N\OC)c3ccc(Cl)cc3)c(Cl)c2)CC1)OC(N)=O,5.59059
COc1cnc2c(C(=O)NCCO)cn(Cc3ncnc(OC(F)F)c3C)c2c1,6.10791
COc1ccc2c(c1)[n+]([O-])nc(N[C@@H]1C[C@H]3CC[C@@H]1C3)[n+]2[O-],5.38503
Nc1ccc(C(O)CNCCc2ccccc2)cc1O,5.65375
O=C(Nc1nnc(-c2cc(Cl)ccc2Cl)o1)c1ccc([N+](=O)[O-])cc1,4.75853
O=[N+]([O-])c1ccc2nc3c(c(-c4ccccc4)c2c1)CCCCC3,3.62787
Cc1cccc(C)c1OCC(=O)N/N=C/c1ccc(O)c([N+](=O)[O-])c1,5.93474
COCCN(C1CCN(Cc2c(-c3ccccc3)[nH]c3c(C(C)C)cccc23)C1)S(C)(=O)=O,4.90309
C=CCn1c(=O)c(C(=O)Nc2ncccc2C)c(O)c2ccccc21,5.09383
Oc1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccccc2)cc1,5.40472
O=C(CC1(O)c2ccccc2-n2c1nc1ccccc1c2=O)c1ccc(F)cc1,5.05306
Cc1ccc(NC(=O)NC2CCCCC2)cc1Cl,5.2186
COc1ccc(-c2nnc(NC(=O)c3cc(Cl)sc3Cl)o2)c(OC)c1,4.66984
O=C1N=C2SC([N+](=O)[O-])=CN2C2=NC(=S)NC(c3ccc([N+](=O)[O-])cc3)C12,4.20901
CCCCCCCCn1c2c(c(=N)c3ccccc31)CCC2,5.20475
O=C(Nc1nnc(-c2ccc3c(c2)CCCC3)o1)c1cccc(Cl)c1,6.33569
O=C(Oc1ccc(C2CCCCC2)cc1)c1cccs1,4.08384
Cc1ccc(-c2nc3ccc(Cl)cc3c(-c3ccccc3)c2Oc2ccc(-c3cc(-c4ccccc4)c4cc(Cl)ccc4n3)cc2)cc1,4.42136
O=C(CCNc1ccc(Cc2ccncc2)cc1)c1cccs1,4.7011
CC(=O)N(C)[C@H](C(=O)N1C[C@H](C)CC1C(=O)N(C)[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N2C[C@H](C)C[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N2C[C@H](C)C[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)NCC(=O)O[C@@H]1C)C(C)C,8.27395
COC(=O)/C(=C/c1ccc(C)cc1)CSC#N,5.62371
CCNC1CN(c2nc(N3CCc4ccccc4C3)nc(N3CCc4ccccc4C3)n2)CCO1,5.17942
COc1cc([C@H]2OC[C@@H]3[C@@H](c4cc(OC)c(O)c(OC)c4)OC[C@H]23)cc(OC)c1O,3.62108
N=C(NO)N1N=C(c2ccccc2O)C[C@H]1c1ccccc1O,3.90309
CCC(C)Cn1c(-c2ccc([N+](=O)[O-])o2)nc2cc3[nH]c(=O)cnc3cc21,3.86612
