SMILES,value
C=CCNc1nnc(Sc2ncccc2[N+](=O)[O-])s1,5.40187
O=C(O[C@@H]1COc2nc([N+](=O)[O-])cn2C1)N1CC[C@H](Oc2ccc(OC(F)(F)F)cc2)C1,6.2712
O=C1c2c(O)ccnc2-c2nccc3c2c1nc1ccccc13,4.37675
O=[N+]([O-])c1cc(CS(=O)(=O)c2nnnn2-c2ccccc2)cc([N+](=O)[O-])c1,5.09691
Cc1ccc2c(COc3ccccc3I)cc(=O)oc2c1,4.49648
O=C(Nc1nnc(-c2cc(Cl)ccc2Cl)o1)c1cccc(Cl)c1,4.26013
O=C(O)c1ccccc1,3.48431
CCCCCC(CC(=O)N1N=CCCC1C(=O)N[C@H]1COC(=O)[C@H]2CCCNN2C(=O)[C@H](C)NC(=O)[C@@H](CC(C)C)NC1=O)C(=O)O,4.7251
Cc1c(C(=O)CSCCO)[n+]([O-])c2ccccc2[n+]1[O-],3.76986
CCC(C(=O)NCCC[C@H]1CN2C(=NC[C@@H]2C2CCCCC2)N1CCc1ccc(Cl)c(Cl)c1)c1ccccc1,5.37945
COc1cc(OC)cc(C(=O)Nc2nnc(-c3cccc(S(C)(=O)=O)c3)o2)c1,4.89303
Cc1nn2c(=O)c(C#N)c(-c3ccccc3)[nH]c2c1-c1ccccc1,5.04321
COc1ccc(-c2noc(C3=CC4(CCN(CC(=O)C5CCCN5C)CC4)c4ccccc43)n2)cc1,4.30103
CCOC(=O)c1ccc2nc(NC(=O)C(C)C)sc2c1,4.51167
CCC(=O)N1CCN(c2ccc(NC(=O)c3cc4ccccc4o3)cc2)CC1,4.20169
O=C(CC(Nc1ccc(F)cc1)c1ccccc1)c1ccccc1,4.42051
CN(C1CCN(Cc2ccncc2)CC1)S(=O)(=O)c1ccc(-n2cccn2)cc1,4.90309
O=c1nc(-c2ccc(F)cc2)ss1,3.97426
Cc1ccc2nc(-c3ccncc3)cc(C(=O)Nc3ccc(C(=O)N4CCCC4)cc3)c2c1,4.57014
COc1ccc(Cl)cc1C(=O)Nc1ccc(Br)cc1O,5.24743
O=C(CN1C(=O)c2cccc3cccc(c23)C1=O)N1CCN(c2ccccc2)CC1,4.11072
COC(=O)COc1ccc2c(=O)c(Oc3ccc4ccccc4c3)c(C(F)(F)F)oc2c1,4.08585
C=CCc1ccc(OCC(O)CN2CCN(c3cc(Cl)ccc3C)CC2)c(OC)c1,5.22687
Cc1nn(-c2ccccc2)c(C)c1N1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O,6.18718
O=C1CSC(c2cc3ccccc3nc2Cl)N1c1cccc([N+](=O)[O-])c1,3.58639
O=C1N=C2SC([N+](=O)[O-])=CN2C2=NC(=S)NC(c3ccccc3O)C12,4.47756
CCCCCCCCCCCCCCC(CO)N(CC)CC,4.54846
O=C(CN1CCN(CCN2C(=O)c3cccc4cccc(c34)C2=O)CC1)c1ccccc1,5.07002
COc1cc2c3nnc(-c4ccc(C)cc4)c-3cn(Cc3cccc(C)c3)c2cc1OC,4.35502
CCOC(=O)c1cnc2ccc(OC)cc2c1Nc1ccc(NCCCN2CCOCC2)cc1,4.63153
CC(=O)c1ccc(OCC(=O)Nc2ccc3c(c2)CCC3)cc1,4.89825
O=C(Nc1nccs1)c1ccccn1,5.21553
