SMILES,value
Cc1nc2ccc(N)cc2s1,6.22185
Nc1ccc2ncccc2c1,4.42091
CC(NC(=O)Nc1nnc(C(F)(F)F)s1)(C(F)(F)F)C(F)(F)F,5.54683
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc[nH]n2)s1,5.5039
CCn1c([N+](=O)[O-])nc2c1c(=O)[nH]c(=O)n2C,6.0846
Nc1nnc(Sc2ncccc2[N+](=O)[O-])s1,5.01845
O=C(O)c1[nH]c(=O)[nH]c(=O)c1F,5.17927
CCc1nc2ccccc2n1CC(O)COc1ccc(I)cc1,5.1309
O=C(NC(Nc1ccc([N+](=O)[O-])cc1)C(Cl)(Cl)Cl)c1cccc(I)c1,4.7357
O=C(NC(Nc1cccc([N+](=O)[O-])c1)C(Cl)(Cl)Cl)c1cccc(I)c1,4.57248
Cc1ccc(Cl)cc1N(CC(=O)Nc1ccc(I)cc1)S(C)(=O)=O,4.76229
O=C(Nc1ccc(-c2nc3ccccc3c(=O)o2)cc1)c1ccccc1I,5.07026
CCn1c(/C=C/c2ccc([N+](=O)[O-])o2)nc2ccc(I)cc2c1=O,5.44381
O=C(Nc1cccc(I)c1)C(Cl)Cl,4.69847
CCCCOc1ccc(S(=O)(=O)Nc2ccc(I)cc2)cc1,5.09006
CCC(=O)NC(=S)Nc1ccc(NC(=O)c2cc(I)ccc2Cl)cc1,5.28644
Cc1ccc(C(=O)NCCC2=CCCCC2)cc1I,5.05
CCc1ccc(S(=O)(=O)Nc2ccc(I)cc2)cc1,4.47936
COC(=O)COc1ccc(NC(=O)c2ccccc2I)cc1,5.5694
COc1ccc(OC(C)C(=O)Nc2ccc(I)cc2)cc1,5.79751
Cn1nc([N+](=O)[O-])nc1Sc1nnc(-c2cccnc2)o1,4.9402
COc1ccc(C2CC(=O)Nc3ccc4ccccc4c32)c(I)c1O,4.74334
COC(=O)c1c(NC(=O)c2ccccc2I)sc2c1CC(C)(C)NC2(C)C,4.63898
O=C(Nc1ccc(I)cc1)c1ccc([N+](=O)[O-])s1,6.27189
COc1ccc(OCC(=O)Nc2ccc(I)cc2C)cc1,5.33646
CS(=O)(=O)NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],4.4005
O=c1c2cc(I)ccc2nc(/C=C/c2ccco2)n1-c1ccccc1,4.41821
Cn1c(/C=C/c2ccc([N+](=O)[O-])o2)nc2ccc(I)cc2c1=O,5.56288
Ic1ccc(OCCCCn2cnc3ccccc32)cc1,4.79086
COc1ccc2[nH]c(/C(C#N)=C\c3ccc(I)cc3)nc2c1,4.47335
Cc1cc(I)ccc1OCCCCn1ccnc1,5.99611
CC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC1(C(=O)NCC(=O)N2Cc3ccccc3CC2C(=O)NC(CCCCN)C(=O)NC2(C(=O)NCC(=O)N3Cc4ccccc4CC3C(=O)NC(Cc3ccccc3)C(=O)NC3(C(=O)NCC(=O)N4Cc5ccccc5CC4C(=O)NCC(=O)NC(CCCCN)C(=O)N4Cc5ccccc5CC4C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(N)=O)CCCCC3)CCCCC2)CCCCC1,4.68487
CC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC1(C(=O)NCC(=O)N2C(C(=O)NC(CCCCN)C(=O)NC3(C(=O)NCC(=O)N4C(C(=O)NC(Cc5ccccc5)C(=O)NC5(C(=O)NCC(=O)N6C(C(=O)NCC(=O)NC(CCCCN)C(=O)N7C(C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(N)=O)CC8CCCCC87)CC7CCCCC76)CCCCC5)CC5CCCCC54)CCCCC3)CC3CCCCC32)CCCCC1,4.67944
CC(=O)Nc1nc(Cc2nnc(S)n2N)cs1,5.20412
Nn1c(S)nnc1Cc1csc(NC(=O)CCl)n1,5.50446
O=C(NO)c1cc([N+](=O)[O-])cc(C(F)(F)F)c1,4.71041
CC(C)(C)[Si](C)(C)ONC(=O)c1ccccc1,4.61457
CC(C)(C)[Si](C)(C)ONC(=O)CC(=O)OCc1ccc([N+](=O)[O-])cc1,5.51713
O=C(O)/C=C/c1ccccc1,3.36967
O=C(O)c1ccc(O)cc1,3.44129
NC(=O)c1cnccn1,3.97153
Brc1cncnc1,4.10447
c1csc(-c2cncnc2)c1,4.4142
c1ncc(-c2ccsc2)cn1,4.11317
Cn1c(=O)c2c(S(C)(=O)=O)snc2n(C)c1=O,4.7785
FC(F)(F)c1nnc2ccc(Cl)nn12,5.42638
CC(=O)c1ccc(C)o1,3.49136
O=C(O)c1ccccc1,3.48431
O=C(O)c1ccc(O)c(O)c1,3.18752
O=Cc1ccc(O)cc1,3.43315
COc1cc(C=O)ccc1O,4.08492
Sc1nc2ccccc2o1,3.30103
O=C(O)CC[N+](=O)[O-],5.48149
N[C@H]1CONC1=O,4.38175
Nc1ccc(C(=O)O)c(O)c1,4.32178
O=[N+]([O-])c1cnc2n1C[C@H](O)CO2,4.90309
Sc1nc2ccccc2s1,4.20761
O=C(Cn1c(=O)oc2cc([N+](=O)[O-])ccc21)Nc1ncc([N+](=O)[O-])s1,4.91739
O=C1C(=O)N(CCCCBr)c2ccc(I)cc21,4.52652
CC(C)CCO[C@@H]1C=CC(=O)[C@@H](CO[Si](C)(C)C(C)(C)C)O1,4.41944
CO[C@@H]1C=CC(=O)[C@@H](CO)O1,3.801
O=[N+]([O-])c1ccc(S(=O)(=O)N2CCOCC2)c([N+](=O)[O-])c1,4.70774
COC(=O)C(C)NS(=O)(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],4.72816
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,4.51145
O=C(Nc1cccc(I)c1)c1cc([N+](=O)[O-])ccc1O,4.79588
O=C(Nc1cccc(I)c1)c1ccc([N+](=O)[O-])cc1O,4.79588
O=C(Nc1cccc(I)c1)c1cccc([N+](=O)[O-])c1O,4.20412
Cc1ccc(NC(=O)c2cc(Cl)ccc2O)cc1I,5.20066
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(I)ccc1O,5.20066
N#Cc1ncn(-c2ccc3nnc(C(F)(F)F)n3n2)n1,5.30103
O=[N+]([O-])c1cn2c(n1)OC[C@@H](NS(=O)(=O)c1ccc(OC(F)(F)F)cc1)C2,5.01323
CSN1C(=O)[C@H]([C@@H](C)O[Si](C)(C)C(C)(C)C)[C@H]1N(OCc1ccccc1)C(=O)c1ccccc1,5.55603
CC(C)(C)[Si](C)(C)N1C(=O)CC1N(OCc1ccccc1)C(=O)c1ccccc1,5.43044
O=C(Nc1ncc([N+](=O)[O-])s1)c1ccc([N+](=O)[O-])s1,4.68173
O=C(Nc1ncc([N+](=O)[O-])s1)c1ccc([N+](=O)[O-])o1,5.26122
O=C(C[C@@H](c1ccc(Cl)cc1)[C@@H]1CCCc2[se]nnc21)c1ccc(Cl)cc1,5.48149
Cc1ccc(C(=O)C[C@@H](c2ccc(Cl)cc2)[C@@H]2CCCc3[se]nnc32)cc1,5.45593
O=C(C[C@@H](c1ccc(Cl)cc1)[C@@H]1CCCc2[se]nnc21)c1ccccc1,5.4437
